Tag,Count,popular index,Efficiency Index
청춘,73,3090,42.32876712328767
좀비,4,169,42.25
인외존재,27,1135,42.03703703703704
역사판타지,3,126,42.0
일상개그힐링,30,1260,42.0
서스펜스,8,334,41.75
성장드라마,21,875,41.666666666666664
혐관,20,826,41.3
우정,59,2424,41.08474576271186
미스터리,27,1098,40.666666666666664
스포츠,35,1419,40.542857142857144
스포츠성장,8,323,40.375
뱀파이어,3,121,40.333333333333336
까칠녀,8,318,39.75
순정녀,3,119,39.666666666666664
로맨스코미디,16,630,39.375
후회물,11,428,38.90909090909091
오컬트판타지,19,733,38.578947368421055
헌신남,7,270,38.57142857142857
구원서사,12,460,38.333333333333336
무심녀,5,191,38.2
걸크러시,7,267,38.142857142857146
계략녀,5,190,38.0
무심남,11,416,37.81818181818182
재회,8,300,37.5
순정남,14,524,37.42857142857143
짝사랑녀,7,261,37.285714285714285
과거,9,335,37.22222222222222
친구>연인,2,74,37.0
다크판타지,12,434,36.166666666666664
순진남,8,289,36.125
4차원,8,284,35.5
계약연애,8,282,35.25
후회남,4,141,35.25
공식미녀,5,174,34.8
로맨틱코미디,30,1034,34.46666666666667
최강자전,8,263,32.875
성장로판,4,129,32.25
인플루언서,2,64,32.0
전남친,4,127,31.75
라이벌,28,885,31.607142857142858
짝사랑남,6,182,30.333333333333332
직진녀,7,205,29.285714285714285
동양풍로맨스,12,348,29.0
순애녀,2,57,28.5
감염,3,84,28.0
하이틴,15,416,27.733333333333334
직진남,6,165,27.5
인소감성,5,129,25.8
던전물,4,102,25.5
학원로맨스,27,688,25.48148148148148
투병,1,25,25.0
혐관로맨스,7,175,25.0
소꿉친구,4,96,24.0
철벽녀,4,93,23.25
아이돌연애,1,23,23.0
집착물,3,68,22.666666666666668
동아리,7,142,20.285714285714285
히어로,1,19,19.0
해외작품,6,114,19.0
프리퀄,1,18,18.0
연예계로맨스,4,71,17.75
데스게임,1,17,17.0
까칠남,5,83,16.6
미래,5,70,14.0
얼빠녀,3,37,12.333333333333334
비밀연애,2,23,11.5
다크히어로,1,9,9.0
